#,Item #,Thickness,Width,Available Length,Materials,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per ft. in Lbs.,Total Price,NOTES:
,Item #,Thickness,Width,Available Length,Materials,Weight Per Ft. in Lbs.,ft.,lb.,$,$,
63,FL381,3/8 in,1 in,20 ft,Carbon SteelSteel,1.276,,0.000,$0.95,$0.00,
64,FL38118,3/8 in,1 1/8 in,20 ft,Carbon SteelSteel,1.434,,0.000,$0.95,$0.00,
65,FL38114,3/8 in,1 1/4 in,20 ft,Carbon SteelSteel,1.595,,0.000,$0.95,$0.00,
66,FL38138,3/8 in,1 3/8 in,20 ft,Carbon SteelSteel,1.753,,0.000,$0.95,$0.00,
67,FL38112,3/8 in,1 1/2 in,20 ft,Carbon SteelSteel,1.914,,0.000,$0.95,$0.00,
68,FL38158,3/8 in,1 5/8 in,20 ft,Carbon SteelSteel,2.072,,0.000,$0.95,$0.00,
69,FL38134,3/8 in,1 3/4 in,20 ft,Carbon SteelSteel,2.231,,0.000,$0.95,$0.00,
70,FL382,3/8 in,2 in,20 ft,Carbon SteelSteel,2.550,,0.000,$0.95,$0.00,
71,FL38214,3/8 in,2 1/4 in,20 ft,Carbon SteelSteel,2.870,,0.000,$0.95,$0.00,
72,FL38212,3/8 in,2 1/2 in,20 ft,Carbon SteelSteel,3.190,,0.000,$0.95,$0.00,
73,FL38234,3/8 in,2 3/4 in,20 ft,Carbon SteelSteel,3.510,,0.000,$0.95,$0.00,
74,FL383,3/8 in,3 in,20 ft,Carbon SteelSteel,3.830,,0.000,$0.95,$0.00,
75,FL38314,3/8 in,3 1/4 in,20 ft,Carbon SteelSteel,4.144,,0.000,$0.95,$0.00,
76,FL38312,3/8 in,3 1/2 in,20 ft,Carbon SteelSteel,4.460,,0.000,$0.95,$0.00,
77,FL384,3/8 in,4 in,20 ft,Carbon SteelSteel,5.100,,0.000,$0.95,$0.00,
78,FL38412,3/8 in,4 1/2 in,20 ft,Carbon SteelSteel,5.742,,0.000,$0.95,$0.00,
79,FL385,3/8 in,5 in,20 ft,Carbon SteelSteel,6.380,,0.000,$0.95,$0.00,
80,FL38512,3/8 in,5 1/2 in,20 ft,Carbon SteelSteel,7.013,,0.000,$0.95,$0.00,
81,FL386,3/8 in,6 in,20 ft,Carbon SteelSteel,7.650,,0.000,$0.85,$0.00,
82,FL387,3/8 in,7 in,20 ft,Carbon SteelSteel,8.930,,0.000,$0.85,$0.00,
83,FL388,3/8 in,8 in,20 ft,Carbon SteelSteel,10.200,,0.000,$0.85,$0.00,
84,FL389,3/8 in,9 in,20 ft,Carbon SteelSteel,11.484,,0.000,$0.85,$0.00,
85,FL3810,3/8 in,10 in,20 ft,Carbon SteelSteel,12.760,,0.000,$0.85,$0.00,
86,FL3811,3/8 in,11 in,20 ft,Carbon SteelSteel,14.040,,0.000,$0.85,$0.00,
87,FL3812,3/8 in,12 in,20 ft,Carbon SteelSteel,15.310,,0.000,$0.85,$0.00,
88,FL1258,1/2 in,5/8 in,20 ft,Carbon SteelSteel,1.063,,0.000,$0.95,$0.00,
89,FL1/23/4,1/2 in,3/4 in,20 ft,Carbon SteelSteel,1.275,,0.000,$0.95,$0.00,
90,FL1278,1/2 in,7/8 in,20 ft,Carbon SteelSteel,1.488,,0.000,$0.95,$0.00,
91,FL121,1/2 in,1 in,20 ft,Carbon SteelSteel,1.700,,0.000,$0.95,$0.00,
92,FL12118,1/2 in,1 1/8 in,20 ft,Carbon SteelSteel,1.913,,0.000,$0.95,$0.00,
93,FL12114,1/2 in,1 1/4 in,20 ft,Carbon SteelSteel,2.130,,0.000,$0.95,$0.00,
94,FL12138,1/2 in,1 3/8 in,20 ft,Carbon SteelSteel,2.338,,0.000,$0.95,$0.00,
95,FL12112,1/2 in,1 1/2 in,20 ft,Carbon SteelSteel,2.550,,0.000,$0.95,$0.00,
96,FL12134,1/2 in,1 3/4 in,20 ft,Carbon SteelSteel,2.975,,0.000,$0.95,$0.00,
97,FL122,1/2 in,2 in,20 ft,Carbon SteelSteel,3.400,,0.000,$0.95,$0.00,
98,FL12214,1/2 in,2 1/4 in,20 ft,Carbon SteelSteel,3.825,,0.000,$0.95,$0.00,
99,FL12212,1/2 in,2 1/2 in,20 ft,Carbon SteelSteel,4.250,,0.000,$0.95,$0.00,
100,FL12234,1/2 in,2 3/4 in,20 ft,Carbon SteelSteel,4.675,,0.000,$0.95,$0.00,
101,FL123,1/2 in,3 in,20 ft,Carbon SteelSteel,5.100,,0.000,$0.95,$0.00,
102,FL12314,1/2 in,3 1/4 in,20 ft,Carbon SteelSteel,5.530,,0.000,$0.95,$0.00,
103,FL12312,1/2 in,3 1/2 in,20 ft,Carbon SteelSteel,5.955,,0.000,$0.95,$0.00,
104,FL124,1/2 in,4 in,20 ft,Carbon SteelSteel,6.800,,0.000,$0.95,$0.00,
105,FL12412,1/2 in,4 1/2 in,20 ft,Carbon SteelSteel,7.660,,0.000,$0.95,$0.00,
106,FL125,1/2 in,5 in,20 ft,Carbon SteelSteel,8.500,,0.000,$0.95,$0.00,
107,FL12512,1/2 in,5 1/2 in,20 ft,Carbon SteelSteel,9.350,,0.000,$0.95,$0.00,
108,FL126,1/2 in,6 in,20 ft,Carbon SteelSteel,10.200,,0.000,$0.95,$0.00,
109,FL127,1/2 in,7 in,20 ft,Carbon SteelSteel,11.910,,0.000,$0.95,$0.00,
110,FL128,1/2 in,8 in,20 ft,Carbon SteelSteel,13.610,,0.000,$0.95,$0.00,
111,FL129,1/2 in,9 in,20 ft,Carbon SteelSteel,15.320,,0.000,$0.95,$0.00,
112,FL1210,1/2 in,10 in,20 ft,Carbon SteelSteel,17.000,,0.000,$0.85,$0.00,
113,FL1211,1/2 in,11 in,20 ft,Carbon SteelSteel,18.720,,0.000,$0.95,$0.00,
114,FL1212,1/2 in,12 in,20 ft,Carbon SteelSteel,20.420,,0.000,$0.85,$0.00,
115,FL5834,5/8 in,3/4 in,20 ft,Carbon SteelSteel,1.594,,0.000,$0.95,$0.00,
116,FL5878,5/8 in,7/8 in,20 ft,Carbon SteelSteel,1.859,,0.000,$0.95,$0.00,
117,FL581,5/8 in,1 in,20 ft,Carbon SteelSteel,2.125,,0.000,$0.95,$0.00,
118,FL58118,5/8 in,1 1/8 in,20 ft,Carbon SteelSteel,2.390,,0.000,$0.95,$0.00,
119,FL58114,5/8 in,1 1/4 in,20 ft,Carbon SteelSteel,2.660,,0.000,$0.95,$0.00,
120,FL58112,5/8 in,1 1/2 in,20 ft,Carbon SteelSteel,3.190,,0.000,$0.95,$0.00,
121,FL58134,5/8 in,1 3/4 in,20 ft,Carbon SteelSteel,3.719,,0.000,$0.95,$0.00,
122,FL582,5/8 in,2 in,20 ft,Carbon SteelSteel,4.250,,0.000,$0.95,$0.00,
123,FL58214,5/8 in,2 1/4 in,20 ft,Carbon SteelSteel,4.780,,0.000,$0.95,$0.00,
124,FL58212,5/8 in,2 1/2 in,20 ft,Carbon SteelSteel,5.317,,0.000,$0.95,$0.00,
125,FL58234,5/8 in,2 3/4 in,20 ft,Carbon SteelSteel,5.844,,0.000,$0.95,$0.00,
126,FL583,5/8 in,3 in,20 ft,Carbon SteelSteel,6.380,,0.000,$0.95,$0.00,
127,FL58314,5/8 in,3 1/4 in,20 ft,Carbon SteelSteel,6.906,,0.000,$0.95,$0.00,
128,FL58312,5/8 in,3 1/2 in,20 ft,Carbon SteelSteel,7.438,,0.000,$0.95,$0.00,
129,FL584,5/8 in,4 in,20 ft,Carbon SteelSteel,8.500,,0.000,$0.95,$0.00,
130,FL58412,5/8 in,4 1/2 in,20 ft,Carbon SteelSteel,9.560,,0.000,$0.95,$0.00,
131,FL585,5/8 in,5 in,20 ft,Carbon SteelSteel,10.630,,0.000,$0.95,$0.00,
132,FL58512,5/8 in,5 1/2 in,20 ft,Carbon SteelSteel,11.690,,0.000,$0.95,$0.00,
133,FL586,5/8 in,6 in,20 ft,Carbon SteelSteel,12.750,,0.000,$0.95,$0.00,
134,FL587,5/8 in,7 in,20 ft,Carbon SteelSteel,14.900,,0.000,$0.95,$0.00,
135,FL588,5/8 in,8 in,20 ft,Carbon SteelSteel,17.010,,0.000,$0.95,$0.00,
136,FL589,5/8 in,9 in,20 ft,Carbon SteelSteel,19.100,,0.000,$0.95,$0.00,
137,FL5810,5/8 in,10 in,20 ft,Carbon SteelSteel,21.270,,0.000,$0.95,$0.00,
138,FL5811,5/8 in,11 in,20 ft,Carbon SteelSteel,23.400,,0.000,$0.95,$0.00,
139,FL5812,5/8 in,12 in,20 ft,Carbon SteelSteel,25.520,,0.000,$0.95,$0.00,
140,FL3478,3/4 in,7/8 in,20 ft,Carbon SteelSteel,2.231,,0.000,$0.95,$0.00,
141,FL341,3/4 in,1 in,20 ft,Carbon SteelSteel,2.550,,0.000,$0.95,$0.00,
142,FL34118,3/4 in,1 1/8 in,20 ft,Carbon SteelSteel,2.870,,0.000,$0.95,$0.00,
143,FL34114,3/4 in,1 1/4 in,20 ft,Carbon SteelSteel,3.190,,0.000,$0.95,$0.00,
144,FL34112,3/4 in,1 1/2 in,20 ft,Carbon SteelSteel,3.830,,0.000,$0.95,$0.00,
145,FL34134,3/4 in,1 3/4 in,20 ft,Carbon SteelSteel,4.463,,0.000,$0.95,$0.00,
146,FL342,3/4 in,2 in,20 ft,Carbon SteelSteel,5.100,,0.000,$0.95,$0.00,
147,FL34214,3/4 in,2 1/4 in,20 ft,Carbon SteelSteel,5.740,,0.000,$0.95,$0.00,
148,FL34212,3/4 in,2 1/2 in,20 ft,Carbon SteelSteel,6.380,,0.000,$0.95,$0.00,
149,FL34234,3/4 in,2 3/4 in,20 ft,Carbon SteelSteel,7.013,,0.000,$0.95,$0.00,
150,FL343,3/4 in,3 in,20 ft,Carbon SteelSteel,7.650,,0.000,$0.95,$0.00,
151,FL34314,3/4 in,3 1/4 in,20 ft,Carbon SteelSteel,8.288,,0.000,$0.95,$0.00,
152,FL34312,3/4 in,3 1/2 in,20 ft,Carbon SteelSteel,8.932,,0.000,$0.95,$0.00,
153,FL344,3/4 in,4 in,20 ft,Carbon SteelSteel,10.200,,0.000,$0.95,$0.00,
154,FL34412,3/4 in,4 1/2 in,20 ft,Carbon SteelSteel,11.480,,0.000,$0.95,$0.00,
155,FL345,3/4 in,5 in,20 ft,Carbon SteelSteel,12.750,,0.000,$0.95,$0.00,
156,FL34512,3/4 in,5 1/2 in,20 ft,Carbon SteelSteel,14.030,,0.000,$0.95,$0.00,
157,FL346,3/4 in,6 in,20 ft,Carbon SteelSteel,15.300,,0.000,$0.95,$0.00,
158,FL347,3/4 in,7 in,20 ft,Carbon SteelSteel,17.870,,0.000,$0.95,$0.00,
159,FL348,3/4 in,8 in,20 ft,Carbon SteelSteel,20.420,,0.000,$0.95,$0.00,
160,FL349,3/4 in,9 in,20 ft,Carbon SteelSteel,22.970,,0.000,$0.95,$0.00,
161,FL3410,3/4 in,10 in,20 ft,Carbon SteelSteel,25.520,,0.000,$0.95,$0.00,
162,FL3411,3/4 in,11 in,20 ft,Carbon SteelSteel,28.080,,0.000,$0.95,$0.00,
163,FL3412,3/4 in,12 in,20 ft,Carbon SteelSteel,30.630,,0.000,$0.95,$0.00,
164,FL781,7/8 in,1 in,20 ft,Carbon SteelSteel,2.980,,0.000,$0.95,$0.00,
165,FL78114,7/8 in,1 1/4 in,20 ft,Carbon SteelSteel,3.720,,0.000,$0.95,$0.00,
166,FL78112,7/8 in,1 1/2 in,20 ft,Carbon SteelSteel,4.470,,0.000,$0.95,$0.00,
167,FL78134,7/8 in,1 3/4 in,20 ft,Carbon SteelSteel,5.210,,0.000,$0.95,$0.00,
168,FL782,7/8 in,2 in,20 ft,Carbon SteelSteel,5.950,,0.000,$0.95,$0.00,
169,FL78214,7/8 in,2 1/4 in,20 ft,Carbon SteelSteel,6.700,,0.000,$0.95,$0.00,
170,FL78212,7/8 in,2 1/2 in,20 ft,Carbon SteelSteel,7.450,,0.000,$0.95,$0.00,
171,FL78234,7/8 in,2 3/4 in,20 ft,Carbon SteelSteel,8.190,,0.000,$0.95,$0.00,
172,FL783,7/8 in,3 in,20 ft,Carbon SteelSteel,8.925,,0.000,$0.95,$0.00,
173,FL78312,7/8 in,3 1/2 in,20 ft,Carbon SteelSteel,10.420,,0.000,$0.95,$0.00,
174,FL784,7/8 in,4 in,20 ft,Carbon SteelSteel,11.900,,0.000,$0.95,$0.00,
175,FL78412,7/8 in,4 1/2 in,20 ft,Carbon SteelSteel,13.390,,0.000,$0.95,$0.00,
176,FL785,7/8 in,5 in,20 ft,Carbon SteelSteel,14.880,,0.000,$0.95,$0.00,
177,FL786,7/8 in,6 in,20 ft,Carbon SteelSteel,17.850,,0.000,$0.95,$0.00,
178,FL787,7/8 in,7 in,20 ft,Carbon SteelSteel,20.830,,0.000,$0.95,$0.00,
179,FL788,7/8 in,8 in,20 ft,Carbon SteelSteel,23.800,,0.000,$0.95,$0.00,
180,FL789,7/8 in,9 in,20 ft,Carbon SteelSteel,26.800,,0.000,$0.95,$0.00,
181,FL7810,7/8 in,10 in,20 ft,Carbon SteelSteel,29.790,,0.000,$0.95,$0.00,
182,FL7811,7/8 in,11 in,20 ft,Carbon SteelSteel,32.800,,0.000,$0.95,$0.00,
183,FL7812,7/8 in,12 in,20 ft,Carbon SteelSteel,35.740,,0.000,$0.95,$0.00,
184,FL1114,1 in,1 1/4 in,20 ft,Carbon SteelSteel,4.250,,0.000,$0.95,$0.00,
185,FL1112,1 in,1 1/2 in,20 ft,Carbon SteelSteel,5.100,,0.000,$0.95,$0.00,
186,FL1134,1 in,1 3/4 in,20 ft,Carbon SteelSteel,5.950,,0.000,$0.95,$0.00,
187,FL12,1 in,2 in,20 ft,Carbon SteelSteel,6.800,,0.000,$0.95,$0.00,
188,FL1214,1 in,2 1/4 in,20 ft,Carbon SteelSteel,7.650,,0.000,$0.95,$0.00,
189,FL121/2,1 in,2 1/2 in,20 ft,Carbon SteelSteel,8.500,,0.000,$0.95,$0.00,
190,FL123/4,1 in,2 3/4 in,20 ft,Carbon SteelSteel,9.350,,0.000,$0.95,$0.00,
191,FL13,1 in,3 in,20 ft,Carbon SteelSteel,10.200,,0.000,$0.95,$0.00,
192,FL1314,1 in,3 1/4 in,20 ft,Carbon SteelSteel,11.900,,0.000,$0.95,$0.00,
193,FL14,1 in,4 in,20 ft,Carbon SteelSteel,13.600,,0.000,$0.95,$0.00,
194,FL141/2,1 in,4 1/2 in,20 ft,Carbon SteelSteel,15.310,,0.000,$0.95,$0.00,
195,FL15,1 in,5 in,20 ft,Carbon SteelSteel,17.000,,0.000,$0.95,$0.00,
196,FL1512,1 in,5 1/2 in,20 ft,Carbon SteelSteel,18.700,,0.000,$0.95,$0.00,
197,FL16,1 in,6 in,20 ft,Carbon SteelSteel,20.420,,0.000,$0.95,$0.00,
198,FL17,1 in,7 in,20 ft,Carbon SteelSteel,23.800,,0.000,$0.95,$0.00,
199,FL18,1 in,8 in,20 ft,Carbon SteelSteel,27.200,,0.000,$0.95,$0.00,
200,FL19,1 in,9 in,20 ft,Carbon SteelSteel,30.630,,0.000,$0.95,$0.00,
201,FL110,1 in,10 in,20 ft,Carbon SteelSteel,34.020,,0.000,$0.95,$0.00,
202,FL111,1 in,11 in,20 ft,Carbon SteelSteel,37.440,,0.000,$0.95,$0.00,
203,FL112,1 in,12 in,20 ft,Carbon SteelSteel,40.830,,0.000,$0.95,$0.00,
204,FL1182,1 1/8 in,2 in,20 ft,Carbon SteelSteel,7.650,,0.000,$0.95,$0.00,
205,FL1183,1 1/8 in,3 in,20 ft,Carbon SteelSteel,11.475,,0.000,$0.95,$0.00,
206,FL1184,1 1/8 in,4 in,20 ft,Carbon SteelSteel,15.300,,0.000,$0.95,$0.00,
207,FL1185,1 1/8 in,5 in,20 ft,Carbon SteelSteel,19.100,,0.000,$0.95,$0.00,
208,FL1186,1 1/8 in,6 in,20 ft,Carbon SteelSteel,22.950,,0.000,$0.95,$0.00,
209,FL1187,1 1/8 in,7 in,20 ft,Carbon SteelSteel,26.780,,0.000,$0.95,$0.00,
210,FL1188,1 1/8 in,8 in,20 ft,Carbon SteelSteel,30.630,,0.000,$0.95,$0.00,
211,FL1189,1 1/8 in,9 in,20 ft,Carbon SteelSteel,34.450,,0.000,$0.95,$0.00,
212,FL11810,1 1/8 in,10 in,20 ft,Carbon SteelSteel,38.300,,0.000,$0.95,$0.00,
213,FL11811,1 1/8 in,11 in,20 ft,Carbon SteelSteel,42.110,,0.000,$0.95,$0.00,
214,FL11812,1 1/8 in,12 in,20 ft,Carbon SteelSteel,45.900,,0.000,$0.95,$0.00,
215,FL114112,1 1/4 in,1 1/2 in,20 ft,Carbon SteelSteel,6.375,,0.000,$0.95,$0.00,
216,FL114134,1 1/4 in,1 3/4 in,20 ft,Carbon SteelSteel,7.440,,0.000,$0.95,$0.00,
217,FL1142,1 1/4 in,2 in,20 ft,Carbon SteelSteel,8.500,,0.000,$0.95,$0.00,
218,FL114214,1 1/4 in,2 1/4 in,20 ft,Carbon SteelSteel,9.563,,0.000,$0.95,$0.00,
219,FL114212,1 1/4 in,2 1/2 in,20 ft,Carbon SteelSteel,10.630,,0.000,$0.95,$0.00,
220,FL114234,1 1/4 in,2 3/4 in,20 ft,Carbon SteelSteel,11.688,,0.000,$0.95,$0.00,
221,FL1143,1 1/4 in,3 in,20 ft,Carbon SteelSteel,12.750,,0.000,$0.95,$0.00,
222,FL114312,1 1/4 in,3 1/2 in,20 ft,Carbon SteelSteel,14.880,,0.000,$0.95,$0.00,
223,FL1144,1 1/4 in,4 in,20 ft,Carbon SteelSteel,17.000,,0.000,$0.95,$0.00,
224,FL114412,1 1/4 in,4 1/2 in,20 ft,Carbon SteelSteel,19.125,,0.000,$0.95,$0.00,
225,FL1145,1 1/4 in,5 in,20 ft,Carbon SteelSteel,21.250,,0.000,$0.95,$0.00,
226,FL114512,1 1/4 in,5 1/2 in,20 ft,Carbon SteelSteel,23.375,,0.000,$0.95,$0.00,
227,FL1146,1 1/4 in,6 in,20 ft,Carbon SteelSteel,25.500,,0.000,$0.95,$0.00,
228,FL1147,1 1/4 in,7 in,20 ft,Carbon SteelSteel,29.750,,0.000,$0.95,$0.00,
229,FL1148,1 1/4 in,8 in,20 ft,Carbon SteelSteel,34.000,,0.000,$0.95,$0.00,
230,FL1149,1 1/4 in,9 in,20 ft,Carbon SteelSteel,38.250,,0.000,$0.95,$0.00,
231,FL11410,1 1/4 in,10 in,20 ft,Carbon SteelSteel,42.540,,0.000,$0.95,$0.00,
232,FL11411,1 1/4 in,11 in,20 ft,Carbon SteelSteel,46.794,,0.000,$0.95,$0.00,
233,FL11412,1 1/4 in,12 in,20 ft,Carbon SteelSteel,51.050,,0.000,$0.95,$0.00,
234,FL1122,1 1/2 in,2 in,20 ft,Carbon SteelSteel,10.200,,0.000,$0.95,$0.00,
235,FL112212,1 1/2 in,2 1/2 in,20 ft,Carbon SteelSteel,12.750,,0.000,$0.95,$0.00,
236,FL1123,1 1/2 in,3 in,20 ft,Carbon SteelSteel,15.314,,0.000,$0.95,$0.00,
237,FL112312,1 1/2 in,3 1/2 in,20 ft,Carbon SteelSteel,17.850,,0.000,$0.95,$0.00,
238,FL1124,1 1/2 in,4 in,20 ft,Carbon SteelSteel,20.400,,0.000,$0.95,$0.00,
239,FL112412,1 1/2 in,4 1/2 in,20 ft,Carbon SteelSteel,22.950,,0.000,$0.95,$0.00,
240,FL1125,1 1/2 in,5 in,20 ft,Carbon SteelSteel,25.500,,0.000,$0.95,$0.00,
241,FL1126,1 1/2 in,6 in,20 ft,Carbon SteelSteel,30.628,,0.000,$0.95,$0.00,
242,FL1127,1 1/2 in,7 in,20 ft,Carbon SteelSteel,35.700,,0.000,$0.95,$0.00,
243,FL1128,1 1/2 in,8 in,20 ft,Carbon SteelSteel,40.830,,0.000,$0.95,$0.00,
244,FL1129,1 1/2 in,9 in,20 ft,Carbon SteelSteel,45.950,,0.000,$0.95,$0.00,
245,FL11210,1 1/2 in,10 in,20 ft,Carbon SteelSteel,51.000,,0.000,$0.95,$0.00,
246,FL11211,1 1/2 in,11 in,20 ft,Carbon SteelSteel,56.152,,0.000,$0.95,$0.00,
247,FL11212,1 1/2 in,12 in,20 ft,Carbon SteelSteel,61.258,,0.000,$0.95,$0.00,
248,FL1342,1 3/4 in,2 in,20 ft,Carbon SteelSteel,11.900,,0.000,$0.95,$0.00,
249,FL134212,1 3/4 in,2 1/2 in,20 ft,Carbon SteelSteel,14.875,,0.000,$0.95,$0.00,
